trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9990770175057372}",20,0,-47.29268431853773,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.999031452259848}",25,4,-43.04489260945839,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.9989847897738192}",20,0,-93.89136272749693,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9989370300989002}",20,0,-100.05351657664289,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9988881732875458}",20,0,-77.58740635231646,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9988382193934154}",25,0,-135.56614963155513,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9987871684713738}",25,0,-34.36209215175508,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9987350205774903}",20,0,-126.8336387088143,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.9986817757690392}",25,0,-161.64115971444656,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.9986274341044993}",20,0,-83.6925083745695,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.9985719956435545}",20,0,-61.74472883399549,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9985154604470929}",25,8,-46.63181200966302,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.9984578285772076}",20,0,-111.42521827554664,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9983991000971955}",20,0,-166.4611182585024,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.9983392750715586}",20,0,-111.19734032276644,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9982783535660028}",20,0,-74.09380819133006,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9982163356474386}",20,0,-201.51542059029114,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.9981532213839804}",25,0,-40.89383813738952,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9980890108449469}",30,0,-196.56471380263156,"{0: 13, 1: 3, 2: 12, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.9980237041008608}",25,0,-45.573951567396925,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
